"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","T.Brady","","494","0.187","0.335","0.334","51.0%","68.0","64.3","3.7","7.8"
"2","M.Ryan","","624","0.206","0.339","0.327","54.6%","70.8","63.9","6.9","8.7"
"3","D.Prescott","","553","0.175","0.287","0.276","53.3%","68.4","64.1","4.2","8.2"
"4","A.Rodgers","","737","0.160","0.257","0.250","50.6%","66.4","62.9","3.5","8.7"
"5","K.Cousins","","682","0.159","0.234","0.207","53.8%","68.6","63.6","5.0","8.7"
"6","B.Roethlisberger","","560","0.132","0.206","0.184","49.6%","65.1","63.1","1.9","8.7"
"7","D.Brees","","737","0.146","0.210","0.180","52.1%","71.1","66.9","4.2","7.3"
"8","M.Stafford","","700","0.114","0.185","0.172","50.6%","66.9","66.8","0.1","7.5"
"9","D.Carr","","642","0.099","0.148","0.141","45.8%","64.4","64.4","-0.0","7.8"
"10","A.Luck","","676","0.112","0.165","0.135","50.1%","64.9","63.7","1.2","8.4"
"11","M.Mariota","","558","0.116","0.173","0.132","48.9%","62.9","61.5","1.4","9.8"
"12","B.Hoyer","","215","0.111","0.131","0.131","48.4%","69.1","65.7","3.4","7.7"
"13","A.Dalton","","672","0.110","0.135","0.128","50.1%","67.2","64.3","2.8","8.0"
"14","P.Rivers","","656","0.100","0.146","0.112","47.4%","62.1","61.9","0.2","8.5"
"15","C.Kessler","","237","0.111","0.111","0.108","43.5%","67.0","62.3","4.7","7.5"
"16","J.Winston","","689","0.098","0.121","0.094","48.6%","61.6","59.9","1.7","10.3"
"17","R.Wilson","","679","0.106","0.101","0.093","48.5%","66.9","62.4","4.5","8.7"
"18","A.Smith","","569","0.100","0.122","0.092","47.1%","68.3","66.4","1.9","6.7"
"19","T.Taylor","","604","0.090","0.091","0.086","43.9%","63.7","61.5","2.2","9.4"
"20","S.Bradford","","626","0.099","0.081","0.070","48.1%","71.9","67.4","4.5","6.4"
"21","C.Palmer","","691","0.078","0.087","0.069","48.6%","61.8","61.4","0.4","9.5"
"22","T.Siemian","","570","0.066","0.066","0.051","46.1%","61.2","61.7","-0.5","8.6"
"23","C.Wentz","","707","0.051","0.033","0.023","44.7%","63.0","63.9","-0.9","7.5"
"24","R.Fitzpatrick","","474","0.038","0.045","0.022","44.7%","56.9","61.0","-4.1","9.1"
"25","C.Kaepernick","","449","0.029","0.031","0.018","43.2%","59.9","64.7","-4.7","8.0"
"26","M.Barkley","","243","0.063","0.063","0.008","51.0%","60.0","60.9","-0.9","10.6"
"27","R.Tannehill","","470","0.082","0.023","0.007","46.0%","68.5","63.2","5.3","8.0"
"28","B.Bortles","","758","0.027","0.021","0.001","44.9%","59.2","63.6","-4.5","8.3"
"29","E.Manning","","657","0.040","0.011","-0.006","45.4%","63.1","64.8","-1.6","7.9"
"30","C.Newton","","664","0.018","0.010","-0.014","43.2%","54.0","59.5","-5.5","10.4"
"31","B.Osweiler","","581","0.021","-0.010","-0.024","46.8%","59.7","63.4","-3.7","8.6"
"32","J.Flacco","","753","0.040","-0.012","-0.026","43.4%","66.3","66.4","-0.2","7.5"
"33","R.Griffin III","","210","0.018","-0.045","-0.049","39.0%","59.6","62.3","-2.7","8.7"
"34","C.Keenum","","377","0.015","-0.033","-0.065","40.8%","61.4","65.1","-3.7","7.7"
"35","B.Gabbert","","218","-0.007","-0.061","-0.066","40.8%","57.2","63.9","-6.7","8.5"
"36","J.McCown","","199","-0.008","-0.080","-0.121","38.2%","54.9","61.1","-6.2","10.1"
"37","J.Cutler","","169","0.011","-0.145","-0.188","38.5%","60.4","62.8","-2.4","9.3"
"38","B.Petty","","157","-0.010","-0.211","-0.235","36.3%","57.3","63.8","-6.5","8.9"
"39","J.Goff","","254","-0.031","-0.269","-0.316","33.9%","55.4","66.4","-10.9","6.7"
