"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","D.Brees","","550","0.214","0.370","0.368","58.0%","75.5","69.0","6.5","7.2"
"2","P.Mahomes","","695","0.205","0.380","0.363","53.4%","68.3","63.8","4.5","9.1"
"3","P.Rivers","","578","0.161","0.259","0.249","51.4%","69.0","65.4","3.6","7.8"
"4","B.Roethlisberger","","756","0.146","0.247","0.236","51.5%","68.2","66.5","1.7","7.8"
"5","M.Ryan","","706","0.164","0.256","0.232","53.0%","70.9","66.6","4.3","8.6"
"6","R.Fitzpatrick","","305","0.168","0.253","0.214","51.1%","66.9","61.7","5.2","10.4"
"7","R.Wilson","","556","0.170","0.227","0.202","49.5%","70.0","62.5","7.5","9.2"
"8","M.Trubisky","","553","0.135","0.213","0.197","51.7%","67.8","65.8","2.0","9.0"
"9","J.Goff","","654","0.132","0.213","0.196","51.2%","67.7","66.1","1.5","8.7"
"10","T.Brady","","631","0.124","0.199","0.195","52.6%","67.9","66.9","1.0","8.0"
"11","A.Luck","","726","0.120","0.190","0.175","51.4%","68.4","67.5","0.8","7.5"
"12","J.Winston","","477","0.131","0.199","0.168","51.2%","65.4","63.2","2.2","10.8"
"13","D.Watson","","695","0.129","0.161","0.154","50.6%","70.0","65.4","4.6","8.6"
"14","A.Rodgers","","721","0.089","0.130","0.129","47.7%","64.7","65.3","-0.6","8.8"
"15","N.Mullens","","316","0.113","0.156","0.126","48.4%","67.4","65.5","1.9","7.2"
"16","N.Foles","","223","0.131","0.150","0.119","46.6%","73.1","67.3","5.7","6.8"
"17","A.Dalton","","425","0.079","0.140","0.114","49.4%","63.3","66.3","-3.0","8.2"
"18","C.Wentz","","478","0.123","0.136","0.109","50.4%","70.5","65.4","5.1","7.9"
"19","J.Flacco","","431","0.071","0.111","0.105","47.8%","62.9","65.5","-2.6","8.8"
"20","C.Newton","","611","0.100","0.105","0.090","50.1%","70.5","67.4","3.0","7.3"
"21","B.Mayfield","","570","0.089","0.103","0.079","46.8%","65.7","64.4","1.3","9.4"
"22","E.Manning","","657","0.079","0.087","0.070","43.4%","67.0","66.6","0.5","7.3"
"23","D.Prescott","","682","0.079","0.078","0.070","46.5%","69.0","67.9","1.1","7.5"
"24","M.Mariota","","453","0.093","0.082","0.065","48.8%","71.0","67.6","3.4","7.6"
"25","M.Stafford","","649","0.063","0.082","0.053","45.1%","67.5","69.6","-2.1","6.8"
"26","A.Smith","","406","0.059","0.067","0.040","47.3%","65.1","66.8","-1.7","8.3"
"27","J.Driskel","","231","0.030","0.030","0.027","41.6%","61.4","65.9","-4.5","8.0"
"28","L.Jackson","","334","0.032","0.058","0.026","47.9%","60.4","66.4","-6.0","8.8"
"29","J.Allen","","463","0.012","0.015","0.009","42.5%","55.6","62.4","-6.8","10.8"
"30","D.Carr","","644","0.082","0.045","0.009","47.8%","72.0","68.2","3.8","7.0"
"31","B.Bortles","","501","0.011","0.013","-0.006","44.3%","60.8","67.7","-6.9","7.2"
"32","C.Keenum","","680","0.039","0.002","-0.009","44.1%","64.9","66.2","-1.3","7.6"
"33","K.Cousins","","706","0.066","0.020","-0.012","48.2%","71.8","69.2","2.6","7.2"
"34","S.Darnold","","490","0.027","0.022","-0.014","43.5%","59.8","64.4","-4.6","9.4"
"35","B.Osweiler","","209","0.037","-0.032","-0.057","41.6%","68.5","68.2","0.3","7.8"
"36","C.Beathard","","214","-0.001","-0.023","-0.085","46.7%","61.1","68.2","-7.1","6.6"
"37","R.Tannehill","","355","0.019","-0.121","-0.166","41.7%","65.9","66.9","-0.9","8.2"
"38","C.Kessler","","179","0.039","-0.146","-0.169","44.1%","69.7","67.0","2.7","6.6"
"39","J.Rosen","","480","-0.018","-0.238","-0.282","38.1%","58.5","66.7","-8.2","8.5"
